"pixelvalue","pixelcount"
0,586207
9.12251925910823e-006,18702
1.92891639017034e-005,15935
2.56821567745646e-005,5760
2.9479695513146e-005,29482
3.0644911021227e-005,7277
3.46803062711842e-005,1373
3.7405621696962e-005,19207
3.8936337659834e-005,10212
4.21433469455224e-005,656
4.55550652986858e-005,43393
4.72900101158302e-005,94
4.83677285956219e-005,113
4.85601885884535e-005,645
5.03501760249492e-005,9242
5.31586447323207e-005,13441
6.43389648757875e-005,69670
7.07198196323588e-005,12520
7.07470971974544e-005,22162
7.30927349650301e-005,4013
7.34077548258938e-005,196
7.35887224436738e-005,325
8.07129545137286e-005,18983
8.37139814393595e-005,8216
9.67596643022262e-005,12166
9.74008944467641e-005,14831
9.95413429336622e-005,11269
0.000100642173492815,308
0.000104020109574776,7946
0.000110752822365612,4660
0.000114562681119423,2786
0.000116631155833602,269
0.000125377075164579,33022
0.000129771608044393,1568
0.000130093671032228,1947
0.000139146068249829,4783
0.000141887940117158,3399
0.000144444449688308,18
0.000144656602060422,18077
0.000156204943777993,264
0.000160437179147266,479
0.000163996461196803,2605
0.000164111028425395,1268
0.000167992955539376,15953
0.000170351049746387,232
0.000173307445948012,12355
0.00018584038480185,425
0.000195652013644576,9455
0.000196759152458981,9198
0.000200155511265621,26926
0.000205872100195847,254
0.00021429019398056,12208
0.000216146378079429,929
0.000218728790059686,3358
0.000220223271753639,3586
0.000226297517656349,12320
0.000226769232540391,190
0.000231057711062022,274
0.00023106591834221,216
0.000237889587879181,2221
0.000239823639276437,1818
0.000240704583120532,1714
0.000242779642576352,182
0.000245112198172137,2020
0.00024694055900909,470
0.000248170545091853,580
0.000257999228779227,2461
0.000266891118371859,2801
0.000268580246483907,45
0.000271861295914277,68
0.000274900288786739,91
0.000280762993497774,2464
0.000285388116026297,3504
0.00028565275715664,13284
0.000296262529445812,75
0.000298921251669526,190
0.000308133137878031,437
0.000313230644678697,29952
0.000321276747854427,2311
0.000321792147587985,7827
0.000327381712850183,9389
0.000329122267430648,1857
0.000332775292918086,7417
0.000340983620844781,631
0.000345283246133477,3605
0.000345324049703777,669
0.000349101988831535,2814
0.000367665779776871,940
0.000369135086657479,460
0.00037466426147148,7006
0.00037642425741069,1477
0.000377906981157139,1417
0.000381634570658207,4727
0.000386165746022016,577
0.000392401969293132,12362
0.000392651389120147,6351
0.000394867587601766,7451
0.000396266725147143,30158
0.000397134514059871,18708
0.000399598357034847,3123
0.000402663776185364,2847
0.000403776852181181,3385
0.000406426406698301,6416
0.000406636303523555,4644
0.000407915649702773,5820
0.000411623797845095,253
0.000416714756283909,1641
0.000417263596318662,16935
0.000422510027419776,3076
0.000423894613049924,441
0.000429364095907658,82
0.000431463646236807,32
0.000440117000835016,10977
0.000445216370280832,3447
0.000451134343165904,5414
0.000452013540780172,704
0.000458408263511956,647
0.000458642782177776,2380
0.000464119948446751,5172
0.000474089203635231,2683
0.000496656459290534,1490
0.000500686815939844,1772
0.000506842392496765,2796
0.000521742622368038,1148
0.000528605713043362,1655
0.000529380631633103,1889
0.000538508524186909,4359
0.000539844681043178,176
0.000540377630386502,9921
0.000545399263501167,429
0.000547806674148887,873
0.000551439414266497,2755
0.000558091618586332,17316
0.000558903382625431,5613
0.000563353940378875,8760
0.000563930138014257,92
0.000572788179852068,1785
0.000573141674976796,37
0.000578997016418725,5964
0.000590087380260229,6965
0.000601384730543941,3457
0.000607164518442005,3294
0.000618027406744659,1018
0.000620325212366879,641
0.000632161740213633,1431
0.000634033640380949,8
0.000639807374682277,14948
0.000645754160359502,1314
0.000659591576550156,657
0.000668724300339818,392
0.000678086362313479,170
0.000682484882418066,19821
0.000683455145917833,482
0.000689009437337518,4757
0.000694394984748214,1635
0.00069500133395195,288
0.000698225165251642,26
0.00070160289760679,2467
0.000714060093741864,1382
0.000717152375727892,828
0.000721466378308833,4129
0.000722953234799206,11
0.00072452612221241,4962
0.000725944701116532,9939
0.000727166945580393,13752
0.000734162575099617,845
0.000735206762328744,1501
0.000737552938517183,39
0.000737651425879449,26
0.00075323018245399,3509
0.000754104054067284,843
0.000760545255616307,328
0.000767674413509667,52
0.000773636857047677,567
0.000786327291280031,1088
0.000793683109804988,2629
0.000797729007899761,2265
0.00079818262020126,204
0.000809580145869404,2510
0.000815136474557221,21387
0.000820309098344296,2569
0.000841517292428762,646
0.000843561138026416,3937
0.000844512309413403,1601
0.000844759226310998,2817
0.000858907878864557,8708
